customer_id1,default,balance,housing,loan
122482,no,347,no,no
119725,no,3462,no,no
103490,no,157,yes,no
126218,no,3689,yes,no
104835,no,0,yes,yes
132649,no,703,no,no
130037,no,665,yes,no
128633,no,1861,no,no
109028,no,1450,yes,no
120811,no,2488,no,no
111335,no,7419,yes,no
124023,no,102,no,no
126890,no,1379,no,yes
140581,no,1993,yes,no
130363,no,1261,no,no
117229,no,96,yes,no
129081,no,-206,yes,no
106015,no,437,yes,no
114599,yes,-870,yes,no
113406,no,0,no,no
133172,no,-424,yes,no
124248,no,40,no,no
142916,no,592,no,no
124552,no,2398,yes,no
121138,no,322,no,no
121074,no,3062,yes,no
138327,no,0,yes,no
106551,no,-173,yes,no
120686,no,350,yes,no
120747,no,11431,no,no
102694,no,1423,yes,no
114879,no,143,no,yes
113317,no,188,no,no
126966,no,4580,yes,no
123229,no,382,no,no
102866,no,369,yes,yes
122210,no,492,no,yes
100767,no,148,yes,no
114860,no,210,yes,no
135031,no,1268,yes,no
132836,no,-196,yes,yes
123340,no,639,no,no
113431,no,158,no,yes
108581,no,572,yes,yes
108488,no,-120,yes,no
131745,no,2651,no,no
123715,no,0,no,no
104893,no,858,yes,no
119890,no,5204,no,no
144098,no,833,no,no
109519,no,1521,no,no
141687,no,1323,no,no
103928,no,452,yes,no
141798,no,125,no,no
104178,no,0,no,no
130387,no,529,yes,no
115183,no,443,no,no
109242,no,4320,yes,no
127030,no,1162,yes,no
103855,no,1053,yes,no
140342,no,1,no,no
108341,no,4543,yes,no
107097,no,957,yes,no
122236,no,1130,no,no
130332,no,788,yes,no
138618,no,226,yes,no
102970,no,2418,yes,no
107521,no,6332,yes,no
138671,no,0,yes,no
115857,no,237,yes,no
122432,no,42,no,no
121614,no,140,yes,no
126308,no,196,no,no
115160,no,5639,yes,no
128980,no,0,no,yes
120582,no,-777,no,yes
144087,no,696,no,no
125195,no,149,no,no
132513,no,4137,yes,no
123693,no,568,no,no
104113,no,279,no,no
126253,no,867,yes,no
109609,no,2936,no,no
138297,no,-252,yes,no
103124,no,751,yes,no
128062,no,264,yes,yes
123975,no,4,yes,no
136600,no,277,yes,no
105625,no,-46,no,no
129363,no,494,yes,no
144177,no,61,no,yes
105187,no,28,yes,no
122643,no,0,no,no
128987,no,358,yes,no
136882,no,177,yes,yes
102638,no,3,yes,no
120545,no,100,no,no
114675,no,843,no,yes
128490,no,-209,yes,yes
103612,no,671,yes,yes
127938,no,98,yes,no
114643,yes,-36,no,yes
112316,no,-267,yes,no
133376,no,2974,yes,no
111750,no,17,no,no
137053,no,949,yes,no
138625,no,39,yes,no
127452,no,1654,no,yes
145229,no,993,no,no
107722,no,1767,yes,no
126326,no,1263,yes,no
111912,no,296,yes,no
132179,no,574,yes,no
140928,no,661,yes,no
106177,no,-1379,yes,no
110563,no,654,yes,yes
115586,no,-50,yes,yes
122030,no,0,no,no
128332,no,2665,yes,no
107855,no,614,yes,yes
117019,no,297,yes,no
144890,no,358,no,no
134520,no,-582,yes,no
100898,no,305,yes,no
108983,no,201,yes,no
136812,no,1634,yes,yes
113625,no,0,no,no
102715,no,2218,yes,no
140566,no,9629,no,no
122995,no,272,no,yes
122821,no,0,no,no
120859,no,681,no,no
133659,no,322,yes,no
107538,no,1086,yes,no
120336,no,-240,no,no
105471,no,1570,yes,no
106207,no,2776,yes,no
101877,no,318,yes,no
139163,no,922,yes,no
130488,no,3132,no,no
106685,no,326,yes,no
145084,no,172,no,no
102312,no,330,yes,no
118981,no,355,no,no
114579,no,23,no,no
