Education,customer_id,AGE,marital,JOB
secondary,100103,33,married,entrepreneur
tertiary,100106,35,married,management
primary,100118,57,married,blue-collar
primary,100119,60,married,retired
secondary,100121,28,married,blue-collar
secondary,100126,44,married,admin.
secondary,100130,36,single,technician
secondary,100141,44,divorced,services
tertiary,100161,32,married,admin.
tertiary,100168,59,divorced,management
secondary,100172,31,married,services
secondary,100184,59,married,admin.
secondary,100187,56,married,admin.
secondary,100188,41,married,technician
secondary,100189,46,divorced,management
secondary,100190,57,married,retired
primary,100204,59,married,blue-collar
secondary,100208,34,married,admin.
secondary,100209,59,single,retired
secondary,100222,51,married,blue-collar
tertiary,100225,52,married,technician
secondary,100228,34,married,services
secondary,100230,55,married,services
secondary,100232,32,single,admin.
secondary,100233,38,single,technician
primary,100241,53,divorced,housemaid
secondary,100248,48,married,unemployed
secondary,100252,26,single,student
secondary,100254,39,married,management
secondary,100263,47,single,services
secondary,100265,45,married,technician
tertiary,100269,54,married,admin.
primary,100274,35,single,retired
secondary,100278,34,married,technician
secondary,100282,35,divorced,technician
secondary,100296,33,single,blue-collar
secondary,100311,38,married,blue-collar
primary,100313,59,divorced,housemaid
primary,100326,48,married,blue-collar
primary,100335,55,married,blue-collar
secondary,100339,44,divorced,admin.
secondary,100351,49,married,admin.
secondary,100353,34,single,services
tertiary,100355,50,single,management
secondary,100357,59,divorced,entrepreneur
tertiary,100371,42,single,management
tertiary,100383,54,married,technician
primary,100399,42,divorced,blue-collar
secondary,100409,44,married,blue-collar
primary,100413,55,divorced,services
secondary,100416,46,married,admin.
primary,100419,40,single,retired
secondary,100423,48,married,management
unknown,100432,42,married,blue-collar
secondary,100438,53,married,technician
tertiary,100445,34,married,management
secondary,100459,40,married,blue-collar
unknown,100475,48,married,blue-collar
primary,100478,43,married,blue-collar
secondary,100488,32,married,unemployed
tertiary,100489,56,married,management
secondary,100491,60,divorced,retired
secondary,100497,40,single,admin.
secondary,100498,38,married,admin.
primary,100512,51,married,blue-collar
tertiary,100525,38,single,technician
tertiary,100532,42,married,management
secondary,100535,32,married,blue-collar
secondary,100537,45,married,blue-collar
secondary,100545,34,married,technician
unknown,100547,39,single,technician
SECONDARY,100558,37,married,technician
SECONDARY,100561,58,divorced,blue-collar
tertiary,100570,44,married,self-employed
secondary,100575,34,married,admin.
primary,100581,51,married,blue-collar
secondary,100587,43,divorced,blue-collar
secondary,100605,41,married,blue-collar
secondary,100613,55,divorced,unemployed
tertiary,100624,29,single,management
tertiary,100628,46,married,management
secondary,100630,30,divorced,admin.
secondary,100637,48,married,blue-collar
unknown,100639,34,married,blue-collar
secondary,100661,52,married,blue-collar
secondary,100670,28,single,services
secondary,100682,56,divorced,technician
primary,100693,41,divorced,admin.
secondary,100702,37,married,blue-collar
secondary,100705,51,married,blue-collar
tertiary,100712,48,DIVORCED,management
unknown,100720,40,single,technician
primary,100724,59,married,retired
secondary,100725,30,married,technician
primary,100737,52,divorced,blue-collar
secondary,100740,35,married,admin.
secondary,100747,37,married,technician
SECONDARY,100752,38,single,admin.
tertiary,100753,44,divorced,self-employed
secondary,100754,39,married,admin.
secondary,100756,33,married,blue-collar
secondary,100762,45,married,services
SECONDARY,100767,35,single,admin.
secondary,100774,29,married,blue-collar
tertiary,100775,31,single,management
secondary,100782,40,divorced,services
tertiary,100785,42,married,management
tertiary,100787,40,single,management
primary,100790,40,married,blue-collar
secondary,100795,36,married,technician
tertiary,100808,35,single,technician
tertiary,100813,36,married,entrepreneur
primary,100830,51,divorced,blue-collar
secondary,100833,37,married,blue-collar
secondary,100835,35,married,services
secondary,100839,55,married,retired
secondary,100887,32,divorced,technician
primary,100893,40,married,retired
tertiary,100895,46,married,self-employed
tertiary,100898,,married,management
secondary,100901,29,married,technician
secondary,100903,36,married,services
secondary,100921,58,divorced,services
tertiary,100931,40,divorced,management
secondary,100937,30,single,services
secondary,100941,49,married,blue-collar
secondary,100944,39,married,blue-collar
secondary,100950,37,single,admin.
secondary,100957,47,married,blue-collar
secondary,100961,33,married,retired
primary,100967,49,married,blue-collar
primary,100974,35,single,blue-collar
secondary,100978,45,married,blue-collar
tertiary,100987,42,married,management
primary,100992,53,divorced,services
secondary,100998,38,single,admin.
